url,creator_username,is_shoppable,post_id,description,create_time,formatted_date,duration,is_photo_post,content_type,views,likes,comments,shares
https://www.tiktok.com/@lilmamamarlo/video/7540887030016806157,lilmamamarlo,False,7540887030016806157,"Healthy meal idea: loaded sweet potato! High protein, low in calories and of course loaded with flavor, stuffed with steak!  What you’ll need:  2 sweet potatoes 🍠  Drizzle with olive oil & air fry at 400° for 40 minutes Pico de gallo:  Cherry tomatoes  Yellow onion  Cilantro  1 Jalapeño  1 full lime  Steak cooked with yellow onion, seasoned with steak seasoning, and garlic salt  #healthyrecipes #healthycooking  #loadedsweetpotato #steaksweetpotato #caloriedeficit ",1755749624,2025-08-20 21:13:44,62,False,video,337,30,1,3
https://www.tiktok.com/@lilmamamarlo/video/7540488923043138871,lilmamamarlo,False,7540488923043138871,New lip combo for my newly dissolved lips! Lip liner by @L.A. Girl Cosmetics gloss by @madebymitchell #lipcombo #lipcombotutorial #darklipliner #lipgloss #lips ,1755656902,2025-08-19 19:28:22,61,False,video,1340,51,4,1
https://www.tiktok.com/@lilmamamarlo/video/7540421812174228750,lilmamamarlo,True,7540421812174228750,AND ITS WATERPROOF???  @makeupforever @MakeUpForEverUSA #makeupforever #foundation #makeup #bestfoundation #makeuphacks ,1755641277,2025-08-19 15:07:57,17,False,video,1170,21,2,1
https://www.tiktok.com/@lilmamamarlo/video/7540394433569754381,lilmamamarlo,False,7540394433569754381,Low carb healthy lunch idea! I made this yesterday and it came out literally to good still so fresh and delicious #lowcarblunch #lowcarbrecipes #mealprep #easylunch #healthylunch ,1755634904,2025-08-19 13:21:44,61,False,video,1871,78,4,3
https://www.tiktok.com/@lilmamamarlo/video/7540117672625851662,lilmamamarlo,True,7540117672625851662,Outfit of the day! This top goes PERFECTLY with these barrel jeans 🤏🏽✨ #barreljeans #ootd #outfitinspo #outfitideas #fallfashion ,1755570491,2025-08-18 19:28:11,13,False,video,1607,58,8,0
https://www.tiktok.com/@lilmamamarlo/video/7540105042901208375,lilmamamarlo,False,7540105042901208375,Low carb creamy cucumber shrimp salad recipe! Super easy healthy recipes 🍤 🥗  Ingredients: 3 mini cucumbers  1 jalapeño  1/3 cup cilantro  2 chives / green onions 1b cooked shrimp  Dressing :  1/4 cup avocado mayo  1/4 cup plain Greek yogurt  1 lemon Salt & pepper  #lowcarbrecipes #ketorecipes #healthyrecipes #saladrecipe #shrimprecipe ,1755567520,2025-08-18 18:38:40,62,False,video,8709,420,20,133
https://www.tiktok.com/@lilmamamarlo/video/7539715968038145293,lilmamamarlo,False,7539715968038145293,Style a Y2K inspired outfit with me! My Y2K queen @ParisHilton influenced me into buying this @Von Dutch hat #y2kaesthetic #styleanoutfitwithme #ootdinspo #streetfashion #y2kfashion ,1755476954,2025-08-17 17:29:14,62,False,video,2991,82,20,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7540824051783175479,stephanie.m.sardinas,False,7540824051783175479,@Ash never ever disappoints me! I’m obsessed!! #rednails #nails #outofmycomfotzone #cutienails #fyp ,1755734958,2025-08-20 17:09:18,124,False,video,347,24,2,1
https://www.tiktok.com/@stephanie.m.sardinas/video/7540814833764158733,stephanie.m.sardinas,True,7540814833764158733,These sunnies>>> #sunglasses #fyp #sunnies #todayslook #viral ,1755732805,2025-08-20 16:33:25,13,False,video,417,14,0,0
https://www.tiktok.com/@stephanie.m.sardinas/video/7540814567740329271,stephanie.m.sardinas,True,7540814567740329271,Ponchos have to be one of my favorite pieces atm!! #poncho #outfitinspo #fashion #transitionalfalloutfit #fyp,1755732741,2025-08-20 16:32:21,13,False,video,843,25,0,0
